Customer,Customer Name,Departure location,Arrival location,Hotel location,Country,Route,Class,ClassType,Area,Distance in km,Supplier,Hotel,Airline,Airline Code,Ticket Number,Exchange,Region,Advance Purchase,Order Date,Departure Date,Arrival Date,Invoice Date,Invoice Number,Dossier Nr,Product Description,Sales Type,Fare type issued,Reason code missed saving,Sales Channel,Booking Ref,Ref1,Ref2,Ref3,Ref4,Ref5,Ref7,Ref8,Ref9,Ref10,Line Number,Ticket Count,Travel days,Fare,Tax,Supplements,Total Sales Excl VAT,Total Sales VAT,Total Sales Incl VAT,Lowest offered fare,Reference fare,Saving,Denied Saving,Emission in tons,Compensation amount
00100273,APG Deelnemingen NV,AMSTERDAM,MINNEAPOLIS,'-,US,AMS-JFK-LAS-MSP-AMS,H,ECONOMY,NORTH AMERICA,14659.48,VCK Travel B.V.,,KLM,074,000002996533200,R,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/11/2019,01/02/2019,9400004,2381498,Air ticket,Aviation sales,Contract fare used,Lowest fare used,Full Service,J9O4CK,,5003002,,,,,,,,8167134,-1,-6,-2978,-438.23,0,-3416.23,0,-3416.23,-3416.23,-3416.23,0,0,5.69,55.48
00100273,APG Deelnemingen NV,AMSTERDAM,NEW YORK,'-,US,AMS-JFK,H,ECONOMY,NORTH AMERICA,0,VCK Travel B.V.,,KLM,074,000003017381386,R,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/06/2019,01/02/2019,9400004,2381498,Seat reservation,Aviation sales,Published fare used,Lowest fare used,Full Service,J9O4CK,,5003002,,,,,,,,8167122,0,-1,-95,0,0,-95,0,-95,-95,-95,0,0,5.69,55.48
00100273,APG Deelnemingen NV,NEW YORK,LAS VEGAS,'-,US,JFK-LAS,Y,ECONOMY,NORTH AMERICA,3621.02,VCK Travel B.V.,,DELTA AIR LINES,006,000002996533198,R,Intercontinental,22-30 days,12/12/2018,01/07/2019,01/07/2019,01/02/2019,9400004,2381498,Air ticket,Aviation sales,Published fare used,Lowest fare used,Full Service,J9O4CK,,5003002,,,,,,,,8166122,-1,-1,-1153,-98.98,0,-1251.98,0,-1251.98,-1251.98,-1251.98,0,0,0.67,6.53
00100273,APG Deelnemingen NV,NEW YORK,NEW YORK,NEW YORK,,,,,NORTH AMERICA,,VCK Travel B.V.,GRAND HYATT NEW YORK,,,,,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/07/2019,01/02/2019,9400004,2381498,Hotelreservation outside European Union,Hotel referral,Published fare used,,Full Service,J9O4CK,,5003002,,,,,,,,8064984,0,-2,-167.17,0,0,-167.17,0,-167.17,0,0,0,0,0.67,6.53
00100273,APG Deelnemingen NV,,LAS VEGAS,'-,,,,,NORTH AMERICA,,VCK Travel B.V.,,,,,,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/07/2019,01/02/2019,9400004,2381498,Handling fee hotel (VAT 0%),Miscellaneous sales,Published fare used,,Full Service,2381498,,5003002,,,,,,,,8064970,0,-2,-5,0,0,-5,0,-5,0,0,0,0,5.69,55.48
00100273,APG Deelnemingen NV,,NOORD AMERIKA,'-,,,,,NORTH AMERICA,,VCK Travel B.V.,,,,,,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/06/2019,01/02/2019,9400004,2381498,Handling fee air ticket (VAT 0%),Miscellaneous sales,Published fare used,,Full Service,2381498,,5003002,,,,,,,,8064969,0,-1,-30,0,0,-30,0,-30,0,0,0,0,5.69,55.48
00100273,APG Deelnemingen NV,,NOORD AMERIKA,'-,,,,,NORTH AMERICA,,VCK Travel B.V.,,,,,,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/06/2019,01/02/2019,9400004,2381498,Handling fee seat reservation (VAT 0%),Miscellaneous sales,Published fare used,,Full Service,2381498,,5003002,,,,,,,,8066501,0,-1,-15,0,0,-15,0,-15,0,0,0,0,5.69,55.48
00100273,APG Deelnemingen NV,,NOORD AMERIKA,'-,,,,,NORTH AMERICA,,VCK Travel B.V.,,,,,,Intercontinental,22-30 days,12/12/2018,01/07/2019,01/07/2019,01/02/2019,9400004,2381498,Handling fee air ticket (VAT 0%),Miscellaneous sales,Published fare used,,Full Service,2381498,,5003002,,,,,,,,8066491,0,-1,-30,0,0,-30,0,-30,0,0,0,0,0.67,6.53
00100273,APG Deelnemingen NV,AMSTERDAM,MINNEAPOLIS,'-,US,AMS-JFK-LAS-MSP-AMS,H,ECONOMY,NORTH AMERICA,14659.48,VCK Travel B.V.,,KLM,074,100002996533200,,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/11/2019,01/02/2019,9400010,2381498,Air ticket,Aviation sales,Contract fare used,Lowest fare used,Full Service,J9O4CK,,5003002,,,,,,,,8487038,1,6,2978,438.23,0,3416.23,0,3416.23,3416.23,4237.32,821.09,0,5.69,55.48
00100273,APG Deelnemingen NV,AMSTERDAM,NEW YORK,'-,US,AMS-JFK,H,ECONOMY,NORTH AMERICA,0,VCK Travel B.V.,,KLM,074,100003017384386,,Intercontinental,22-30 days,12/12/2018,01/06/2019,01/06/2019,01/02/2019,9400010,2381498,Seat reservation,Aviation sales,Published fare used,,Full Service,J9O4CK,,5003002,,,,,,,,8487039,0,1,95,0,0,95,0,95,0,0,0,0,5.69,55.48
